     0.0	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf
     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf
    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	    69.0	     inf
     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf
  1.3129	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf
     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf
     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf
  2.5469	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf
     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf
     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf	     inf
